mask1,mask2,intersection,mask1_size,mask2_size,mask2_size_at_mask1_z,iou,iou_at_mask1_z,containment_2p,containment_hcr_at_z,is_best_match,somaprint_hcr_label,somaprint_best_score,somaprint_second_score,somaprint_confident
1,20646,117,313,1624,211,0.0642857142857142,0.2874692874692874,0.3738019169329074,0.5545023696682464,True,20646,13.476246162210545,4.422430663024668,True
1,20482,7,313,2292,338,0.0026943802925327,0.0108695652173913,0.0223642172523961,0.0207100591715976,False,20646,13.476246162210545,4.422430663024668,True
2,18531,0,218,4669,0,0.0,0.0,0.0,0.0,False,18531,4.619836132889921,3.9629427449844217,False
3,19508,111,342,4040,1635,0.0259892296885975,0.0594855305466238,0.3245614035087719,0.0678899082568807,True,19508,7.029121593377192,2.9512097747526584,False
3,19851,11,342,1861,497,0.0050182481751824,0.0132850241545893,0.0321637426900584,0.0221327967806841,False,19508,7.029121593377192,2.9512097747526584,False
4,18986,97,238,4807,1314,0.0196038803556992,0.0666666666666666,0.407563025210084,0.0738203957382039,True,18988,11.124393864108841,6.938190133339879,True
4,17148,53,238,4646,935,0.0109708134961705,0.0473214285714285,0.2226890756302521,0.0566844919786096,False,18988,11.124393864108841,6.938190133339879,True
5,19508,5,383,4040,440,0.0011317338162064,0.0061124694376528,0.0130548302872062,0.0113636363636363,False,18452,6.837269965454745,3.20741351280684,False
6,19916,61,286,1541,648,0.0345413363533408,0.0698739977090492,0.2132867132867132,0.0941358024691358,True,19916,6.799478102124635,4.8076120508716995,False
7,20148,237,288,2113,1300,0.1095194085027726,0.1754256106587712,0.8229166666666666,0.1823076923076923,True,20148,20.282987875139323,4.122738439639636,True
8,20639,183,335,2083,352,0.0818791946308724,0.3630952380952381,0.5462686567164179,0.5198863636363636,True,20639,13.142392963636649,4.8180885441230314,True
8,20867,49,335,1812,536,0.0233555767397521,0.059610705596107,0.1462686567164179,0.0914179104477612,False,20639,13.142392963636649,4.8180885441230314,True
9,19453,371,558,4485,2386,0.0794092465753424,0.1441896618732996,0.6648745519713262,0.1554903604358759,True,19453,15.939463593860937,4.81837649202231,True
9,20123,6,558,1521,404,0.0028943560057887,0.006276150627615,0.010752688172043,0.0148514851485148,False,19453,15.939463593860937,4.81837649202231,True
9,19448,15,558,3840,1873,0.0034223134839151,0.0062086092715231,0.0268817204301075,0.0080085424452749,False,19453,15.939463593860937,4.81837649202231,True
10,20860,71,512,1633,400,0.0342333654773384,0.084423305588585,0.138671875,0.1775,False,20860,16.18904000888133,4.410022158953845,True
10,19886,89,512,2785,986,0.0277431421446384,0.0631653655074521,0.173828125,0.0902636916835699,True,20860,16.18904000888133,4.410022158953845,True
